ID,15-箱门告警,16-防雷告警,18-风扇故障,19-网络设备异常,20-视频1网络异常,23-视频2网络异常,24-视频3网络异常,29-监控网络连接异常,30-市电异常
2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10022.0,3219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10049.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,9.0
10050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
10059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10071.0,3259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
10073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
10081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
